InputID,GeneID,GO_ID,Evidence,Qualifier,GO_term,PubMed,Category
LOC5563548,5563548,GO:0005737,IEA,located_in,cytoplasm,30032202,Component
LOC5563548,5563548,GO:0005886,IEA,located_in,plasma membrane,30032202,Component
LOC5563550,5563550,GO:0004252,IEA,enables,serine-type endopeptidase activity,22301074|30032202,Function
LOC5563550,5563550,GO:0006508,IEA,involved_in,proteolysis,22301074|30032202,Process
LOC5563554,5563554,GO:0003723,IEA,enables,RNA binding,30032202,Function
LOC5563554,5563554,GO:0005524,IEA,enables,ATP binding,22301074,Function
LOC5563554,5563554,GO:0005634,IEA,located_in,nucleus,30032202,Component
LOC5563554,5563554,GO:0016887,IEA,enables,ATP hydrolysis activity,22301074|30032202,Function
LOC5563554,5563554,GO:0042254,IEA,involved_in,ribosome biogenesis,30032202,Process
LOC5563554,5563554,GO:1990275,IEA,enables,preribosome binding,30032202,Function
LOC5563558,5563558,GO:0004016,IEA,enables,adenylate cyclase activity,22301074|30032202,Function
LOC5563558,5563558,GO:0005886,IEA,located_in,plasma membrane,22301074,Component
LOC5563558,5563558,GO:0006171,IEA,involved_in,cAMP biosynthetic process,22301074|30032202,Process
LOC5563558,5563558,GO:0007189,IEA,involved_in,adenylate cyclase-activating G protein-coupled receptor signaling pathway,30032202,Process
LOC5563558,5563558,GO:0035556,IEA,involved_in,intracellular signal transduction,22301074,Process
LOC5563559,5563559,GO:0000976,IEA,enables,transcription cis-regulatory region binding,30032202,Function
LOC5563559,5563559,GO:0005634,IEA,located_in,nucleus,30032202,Component
LOC5563559,5563559,GO:0006357,IEA,involved_in,regulation of transcription by RNA polymerase II,30032202,Process
LOC5563560,5563560,GO:0000179,IEA,enables,"rRNA (adenine-N6,N6-)-dimethyltransferase activity",22301074|30032202,Function
LOC5563560,5563560,GO:0005759,IEA,located_in,mitochondrial matrix,30032202,Component
LOC5563560,5563560,GO:0031167,IEA,involved_in,rRNA methylation,30032202,Process
LOC5563561,5563561,GO:0015276,IEA,enables,ligand-gated monoatomic ion channel activity,22301074,Function
LOC5563561,5563561,GO:0016020,IEA,located_in,membrane,22301074,Component
LOC5563563,5563563,GO:0005737,IEA,located_in,cytoplasm,30032202,Component
LOC5563563,5563563,GO:0005868,IEA,part_of,cytoplasmic dynein complex,30032202,Component
LOC5563563,5563563,GO:0007018,IEA,involved_in,microtubule-based movement,30032202,Process
LOC5563563,5563563,GO:0045505,IEA,enables,dynein intermediate chain binding,30032202,Function
LOC5563566,5563566,GO:0004252,IEA,enables,serine-type endopeptidase activity,22301074,Function
LOC5563566,5563566,GO:0006508,IEA,involved_in,proteolysis,22301074,Process
LOC5563569,5563569,GO:0004252,IEA,enables,serine-type endopeptidase activity,22301074,Function
LOC5563569,5563569,GO:0006508,IEA,involved_in,proteolysis,22301074,Process
LOC5563570,5563570,GO:0005576,IEA,located_in,extracellular region,30032202,Component
LOC5563572,5563572,GO:0010507,IEA,involved_in,negative regulation of autophagy,30032202,Process
LOC5563575,5563575,GO:0004613,IEA,enables,phosphoenolpyruvate carboxykinase (GTP) activity,22301074|30032202,Function
LOC5563575,5563575,GO:0005525,IEA,enables,GTP binding,22301074|30032202,Function
LOC5563575,5563575,GO:0005829,IEA,located_in,cytosol,30032202,Component
LOC5563575,5563575,GO:0006094,IEA,involved_in,gluconeogenesis,22301074|30032202,Process
LOC5563575,5563575,GO:0019543,IEA,involved_in,propionate catabolic process,30032202,Process
LOC5563575,5563575,GO:0030145,IEA,enables,manganese ion binding,30032202,Function
LOC5563575,5563575,GO:0032869,IEA,involved_in,cellular response to insulin stimulus,30032202,Process
LOC5563575,5563575,GO:0042594,IEA,involved_in,response to starvation,30032202,Process
LOC5563575,5563575,GO:0070365,IEA,involved_in,hepatocyte differentiation,30032202,Process
LOC5563575,5563575,GO:0071333,IEA,involved_in,cellular response to glucose stimulus,30032202,Process
LOC5563575,5563575,GO:0071549,IEA,involved_in,cellular response to dexamethasone stimulus,30032202,Process
LOC5563576,5563576,GO:0003682,IEA,enables,chromatin binding,22301074,Function
LOC5563577,5563577,GO:0004586,IEA,enables,ornithine decarboxylase activity,30032202,Function
LOC5563577,5563577,GO:0005737,IEA,located_in,cytoplasm,30032202,Component
LOC5563578,5563578,GO:0005764,IEA,located_in,lysosome,30032202,Component
LOC5563579,5563579,GO:0006891,IEA,involved_in,intra-Golgi vesicle-mediated transport,30032202,Process
LOC5563579,5563579,GO:0007030,IEA,involved_in,Golgi organization,30032202,Process
LOC5563579,5563579,GO:0015031,IEA,involved_in,protein transport,30032202,Process
LOC5563579,5563579,GO:0016020,IEA,located_in,membrane,30032202,Component
LOC5563579,5563579,GO:0017119,IEA,part_of,COG complex,30032202,Component
LOC5563582,5563582,GO:0005515,IEA,enables,protein binding,22301074,Function
LOC5563582,5563582,GO:0005737,IEA,located_in,cytoplasm,30032202,Component
LOC5563582,5563582,GO:0045717,IEA,involved_in,negative regulation of fatty acid biosynthetic process,30032202,Process
LOC5563582,5563582,GO:0080008,IEA,part_of,Cul4-RING E3 ubiquitin ligase complex,30032202,Component
LOC5563584,5563584,GO:0005216,IEA,enables,monoatomic ion channel activity,22301074,Function
LOC5563584,5563584,GO:0006811,IEA,involved_in,monoatomic ion transport,22301074,Process
LOC5563584,5563584,GO:0016020,IEA,located_in,membrane,22301074,Component
LOC5563584,5563584,GO:0044877,IEA,enables,protein-containing complex binding,30032202,Function
LOC5563584,5563584,GO:0055085,IEA,involved_in,transmembrane transport,22301074,Process
LOC5563585,5563585,GO:0016020,IEA,located_in,membrane,30032202,Component
LOC5563586,5563586,GO:0004613,IEA,enables,phosphoenolpyruvate carboxykinase (GTP) activity,22301074|30032202,Function
LOC5563586,5563586,GO:0005525,IEA,enables,GTP binding,22301074|30032202,Function
LOC5563586,5563586,GO:0005829,IEA,located_in,cytosol,30032202,Component
LOC5563586,5563586,GO:0006094,IEA,involved_in,gluconeogenesis,22301074|30032202,Process
LOC5563586,5563586,GO:0019543,IEA,involved_in,propionate catabolic process,30032202,Process
LOC5563586,5563586,GO:0030145,IEA,enables,manganese ion binding,30032202,Function
LOC5563586,5563586,GO:0032869,IEA,involved_in,cellular response to insulin stimulus,30032202,Process
LOC5563586,5563586,GO:0042594,IEA,involved_in,response to starvation,30032202,Process
LOC5563586,5563586,GO:0070365,IEA,involved_in,hepatocyte differentiation,30032202,Process
LOC5563586,5563586,GO:0071333,IEA,involved_in,cellular response to glucose stimulus,30032202,Process
LOC5563586,5563586,GO:0071549,IEA,involved_in,cellular response to dexamethasone stimulus,30032202,Process
LOC5563587,5563587,GO:0000978,IEA,enables,RNA polymerase II cis-regulatory region sequence-specific DNA binding,30032202,Function
LOC5563587,5563587,GO:0000981,IEA,enables,"DNA-binding transcription factor activity, RNA polymerase II-specific",30032202,Function
LOC5563587,5563587,GO:0005634,IEA,located_in,nucleus,22301074|30032202,Component
LOC5563587,5563587,GO:0006357,IEA,involved_in,regulation of transcription by RNA polymerase II,30032202,Process
LOC5563587,5563587,GO:0007417,IEA,involved_in,central nervous system development,30032202,Process
LOC5563587,5563587,GO:0008270,IEA,enables,zinc ion binding,22301074,Function
LOC5563588,5563588,GO:0005730,IEA,located_in,nucleolus,30032202,Component
LOC5563588,5563588,GO:0005737,IEA,located_in,cytoplasm,30032202,Component
LOC5563588,5563588,GO:0006364,IEA,involved_in,rRNA processing,30032202,Process
LOC5563588,5563588,GO:0030515,IEA,enables,snoRNA binding,30032202,Function
LOC5563588,5563588,GO:0030688,IEA,part_of,"preribosome, small subunit precursor",30032202,Component
LOC5563589,5563589,GO:0015031,IEA,involved_in,protein transport,22301074|30032202,Process
LOC5563589,5563589,GO:0032588,IEA,located_in,trans-Golgi network membrane,30032202,Component
LOC5563589,5563589,GO:0055038,IEA,located_in,recycling endosome membrane,30032202,Component
LOC5563590,5563590,GO:0003735,IEA,enables,structural constituent of ribosome,22301074|30032202,Function
LOC5563590,5563590,GO:0005840,IEA,located_in,ribosome,22301074|30032202,Component
LOC5563590,5563590,GO:0006412,IEA,involved_in,translation,22301074|30032202,Process
LOC5563591,5563591,GO:0004613,IEA,enables,phosphoenolpyruvate carboxykinase (GTP) activity,22301074|30032202,Function
LOC5563591,5563591,GO:0005525,IEA,enables,GTP binding,22301074|30032202,Function
LOC5563591,5563591,GO:0005829,IEA,located_in,cytosol,30032202,Component
LOC5563591,5563591,GO:0006094,IEA,involved_in,gluconeogenesis,22301074|30032202,Process
LOC5563591,5563591,GO:0019543,IEA,involved_in,propionate catabolic process,30032202,Process
LOC5563591,5563591,GO:0030145,IEA,enables,manganese ion binding,30032202,Function
LOC5563591,5563591,GO:0032869,IEA,involved_in,cellular response to insulin stimulus,30032202,Process
